source,target,value
Ted,Mac:08-D2-3E-A0-81-1A,200
Ted,Mac:F0-2F-74-F7-9A-CF,100
Ted,Phone:13601580217,50
Ted,Phone:18965428960,150
Kelly,Mac:08-D2-3E-A0-81-1A,100
Kelly,Phone:13601580217,100
Jane,Mac:08-D2-3E-A0-81-1A,50
Jane,Mac:F0-2F-74-F7-9A-CF,50
Jane,Phone:19565706070,50
Skinny,Phone:13601580217,50
Skinny,Phone:18965428960,50
Skinny,Phone:19565706070,50
Mac:08-D2-3E-A0-81-1A,White,350
Phone:18965428960,White,200
Phone:13601580217,White,100
Mac:F0-2F-74-F7-9A-CF,Jesse,150
Phone:13601580217,Jesse,100
Phone:19565706070,Jesse,100
